frame,2ld_1,2ld_2,2ld_3,2lv_1,2lv_2,2lv_3,3ld_1,3ld_2,3ld_3,4rd_1,4rd_2,4rd_3,4rv_1,4rv_2,4rv_3,5ld_1,5ld_2,5ld_3,5lv_1,5lv_2,5lv_3,6ld_1,6ld_2,6ld_3,6lv_1,6lv_2,6lv_3,7rd_1,7rd_2,7rd_3,7rv_1,7rv_2,7rv_3,8rd_1,8rd_2,8rd_3,,,,,,,10ld_1,10ld_2,10ld_3,10lv_1,10lv_2,10lv_3
15,,,,,,,45.71044,,19.00658,46.29259,21.16929,25.33553,20.01111,24.61713,16,40.67213,19.66949,32.03514,21.18306,24.5,15.33696,22.33582,28.76549,21.87723,35.35259,30.66667,18.16743,16.34098,18.00309,26.67026,22.66667,18.52701,21.77298,,,,,,,,,,29.66854,25.66883,38.42245,27.5,29.33759,28.25028
16,,,,,,,57.00877,,19.05912,38.62682,22.16917,19.33621,18.35226,21.61508,15.83684,34.67308,20.836,31.7746,19.85083,25,15.5009,23.33571,33.40021,20.60476,35.19864,31.00045,18.83997,17.02041,18.34545,29.16995,22.34328,18.52701,21.75144,,,,,,,,,,30.00741,27.34146,,28.01004,29.83752,28.25
17,,,,,,,59.5084,,19.52562,36.62616,22.83333,20.33607,18.503,22.86505,16.33673,35.00357,21.33398,31.50893,19.83963,25.005,15.83333,25.66667,35.73226,20.46894,34.85287,31.66711,19.50641,32.16667,19.01169,,22.33333,18.56071,21.75575,,,,,,,,,,31.00179,33.68151,,29.00108,29.8352,28.87608
18,,,,,,,63.50197,,20.00625,33.95959,23.50236,21.33594,18.52701,23.11504,16.83663,34.83692,22.00063,31.251,20.17286,23.5,16.16667,26.66667,39.06397,22.66667,34.52576,33.5,20.5061,34.33374,19.35918,,22.66912,18.76499,22.00568,,,,,,,,,,30.34981,34.34789,,30.25,30.50182,30.62908
19,,,,,,,73.02739,,21.00595,30.29399,24.50907,21.66923,19.35918,24.5635,17.33413,35.17654,28.0005,30.00104,20.83933,25.5049,16.66667,27,42,26.01922,33.28048,34.16707,21.50065,36.1682,20.00278,,22.68871,19.00658,22.01278,,,,,,,,,,31.00179,36.34709,,42.00298,47.50468,
20,,,,,,,,,21.0238,20.29513,25.18653,22.34328,19.85853,25.06337,18.41968,35.17022,28.66715,29.26709,21.17257,19.5,16.6675,28.33333,,27.6747,34.19958,34.66707,21.17257,38.16812,20.67742,,23.00242,19.00164,21.50581,,,,,,,,,,32.68197,38.6796,,43.00654,48.33793,
21,,,,,,,,,20.78762,20.29171,35.18088,23.33571,19.85083,25.81975,19.04458,36.00964,29.8338,29.25427,21.50581,19,16.84076,36,,27.66867,33.93141,34.83373,21.50581,,26.00855,,23.00966,19.30835,22.00142,,,,,,,,,,35.33491,,,45.25622,49.00453,
22,,,,,,,,,21.27352,20.96765,36.18049,23.34286,20.18388,26.31308,20.33607,36.84276,31.83508,29.2767,21.83906,19.5,17.17395,37.66667,,27.68473,34.22515,35.16706,22.50555,,27.35162,,23.34286,19.5016,22.28508,,,,,,,,,,36.00617,,,48.01042,49.16921,
23,,,,,,,,,21.76293,18.29171,40.17911,25.00889,20.52438,27.32755,21.33398,37.67257,,29.25961,22.50555,20.5,21.83906,41.668,,28.07134,34.46113,37.17003,23.83392,,29.35037,,25.68614,20.00625,22.50139,,,,,,,,,,36.33945,,,,,
24,,,,,,,,,22.25562,18.62505,43.17825,25.3421,21.04229,27.56282,21.50065,38.83906,,29.55186,23.17206,19.5,23.17206,47.33803,,29.73401,34.73961,,26.1672,,32,,26.35231,20.25617,22.5125,,,,,,,,,,37.0015,,,,,
25,,,,,,,,,22.50555,18.62877,,26.00855,21.33919,27.81277,21.67244,39.00036,,29.77625,23.83858,22,24.5051,,,32.11092,34.71081,,,,,,27.00823,20.51371,22.54994,,,,,,,,,,40.67213,,,,,
26,,,,,,,,,23.25,19.62717,,27.34146,22.84306,28.56263,23.83333,46.16937,,29.7668,24.83837,23.02173,31.66842,,,32.04337,34.77557,,,,,,28.01785,20.53807,22.56795,,,,,,,,,,42.67838,,,,,
27,,,,,,,,,25.75121,20.29171,,41.668,25.19369,30.82525,,46.83452,,30.75406,47.83595,23.52127,,,,33.49959,34.71081,,,,,,30.71192,21.0238,23.25134,,,,,,,,,,45.36396,,,,,
28,,,,,,,,,26.25119,20.96169,,43.67462,25.34704,32.08372,,48.00029,,31.50397,48.17387,26.50472,,,,33.4149,34.4203,,,,,,32.04337,21.0535,23.5,,,,,,,,,,49.67114,,,,,
