frame,2ld_1,2ld_2,2ld_3,2lv_1,2lv_2,2lv_3,4rd_1,4rd_2,4rd_3,4rv_1,4rv_2,4rv_3,5ld_1,5ld_2,5ld_3,5lv_1,5lv_2,5lv_3,6ld_1,6ld_2,6ld_3,6lv_1,6lv_2,6lv_3,7rd_1,7rd_2,7rd_3,7rv_1,7rv_2,7rv_3,8rd_1,8rd_2,8rd_3,9rd_1,9rd_2,9rd_3,9rv_1,9rv_2,9rv_3,10ld_1,10ld_2,10ld_3,10lv_1,10lv_2,10lv_3
14,1.27539,,,3.91684,,,5.68567,21.68578,,14.27203,9.5554,17.02053,10.09964,13.90443,6.10199,13.6759,12.97193,15.65141,17.45058,19.37903,9.10262,7.74396,12.16106,15.96328,16.01902,21.53808,6.79626,23.86192,23.85118,9.9357,22.85876,19.49219,10.61324,13.534,19.496,10.566,11.13,12.1375,4.51461,14.5822,15.352,4.224,14.457,9.792,10.0922
15,,,,,,,6.43474,22.53012,,17.63264,13.36329,16.39991,10.99478,13.5453,6.15642,17.81281,13.10921,15.55378,17.07564,18.83145,9.54118,8.15715,12.23611,15.3421,15.45305,21.44774,6.47156,25.58344,23.46659,10.21907,22.21893,15.33649,10.56869,13.093,19.108,11.164,14.241,11.91025,4.70023,17.8521,14.896,,13.921,9.203,6.718
16,,,,,,,9.37627,22.69379,,22.86388,16.40529,15.89408,11.34243,13.33235,6.46227,18.37782,13.0574,15.45635,16.49942,18.43495,9.25502,8.349,10.94131,15.23044,15.06849,21.18274,5.01006,25.97204,23.40867,10.32185,22.06536,14.88501,10.37074,12.212,18.834,10.543,16.269,11.57236,5.47223,17.6209,14.658,,13.685,9.069,6.59056
17,,,,,,,10.43977,22.02945,,22.66802,16.18103,15.81618,11.22829,13.15657,6.40245,18.11872,12.926,15.31477,16.05103,10.14833,8.99795,8.55392,10.75928,15.12036,14.58108,20.46064,,26.33402,22.62546,10.25416,22.33544,13.71184,10.34557,11.677,17.913,9.786,16.572,11.33853,5.72857,17.5398,11.082,,13.457,9.019,5.68292
18,,,,,,,11.57842,22.04818,,22.46675,15.9454,15.63499,11.06304,12.80427,6.53068,17.97842,12.875,15.23274,15.91168,10.07767,9.02397,9.00735,10.44782,14.98544,9.08112,20.16175,,26.48104,21.99113,10.29644,22.08045,11.35014,10.06069,8.366,18.568,9.95,16.47,11.51451,5.63183,17.9111,10.678,,13.196,8.344,5.00894
19,,,,,,,12.78736,20.48271,,21.81195,16.40463,14.95584,11.20912,10.48601,6.02869,17.26813,12.64353,14.64553,16.19112,9.83709,9.46232,9.4305,10.37584,13.68646,8.5078,20.08198,,26.39752,17.57918,10.51263,21.93079,,8.51723,7.945,17.249,8.612,16.359,9.98849,5.97803,17.775,10.1,,12.716,4.304,
20,,,,,,,18.23485,20.40988,,21.6436,16.71197,14.17419,11.20912,10.32496,6.08853,17.24735,12.15837,14.54652,15.72182,8.2832,9.30038,9.35187,9.44086,14.81815,7.64041,19.36198,,26.2295,16.80226,10.38109,21.29116,,8.01325,7.624,14.361,9.247,16.175,8.76384,5.94161,17.5672,9.159,,6.2,4.227,
21,,,,,,,18.33553,20.22996,,21.5382,16.76255,14.13048,11.20834,9.95581,6.27535,17.20266,12.0099,14.36659,12.51573,,9.07476,8.86037,9.26729,14.28366,6.08234,15.53033,,26.18948,15.54322,10.38109,16.75026,,7.63708,7.049,14.377,8.257,16.085,8.91371,5.99742,16.9454,,,5.448,3.92,
22,,,,,,,18.36856,19.57098,,21.28296,16.35992,13.84621,10.88877,9.26505,6.16484,16.95531,11.63802,14.17806,12.06861,,8.83537,8.68894,8.79741,13.78958,,15.20364,,25.82099,12.82878,10.34707,16.49489,,7.36413,6.087,13.079,8.169,15.92,8.63468,5.98581,16.367,,,4.581,3.417,
23,,,,,,,18.8153,13.43819,,20.0603,15.22129,7.39703,10.5135,,6.5198,15.65835,11.60742,11.84208,11.56852,,8.33497,8.57669,8.51723,12.91648,,13.69588,,24.63069,,10.22686,14.45415,,,,,,15.117,,5.94229,15.9747,,,,,
